mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2015-02-13 10:23:20.564399104,74.609,-55.9941,3751.0,167.0,-3718.0,168.6,501.0,38.3,12,S,1A,3413
2021-03-20 20:48:22.070115072,74.609,-55.9941,7374.0,167.0,-7351.0,167.6,586.0,108.3,12,S,1B,3413
2016-07-26 20:48:39.854023936,74.609,-55.9941,4199.0,42.0,-4159.0,42.6,-578.0,20.7,12,S,1A,3413
2021-05-01 16:12:09.574054912,74.609,-55.9941,5183.0,152.0,-5179.0,151.6,211.0,90.7,10,S,2B,3413
2021-05-14 16:22:10.574054912,74.609,-55.9941,4633.0,164.0,-4574.0,165.8,-733.0,44.4,20,S,2A,3413
2018-07-13 20:48:30.089179904,74.609,-55.9941,4492.0,84.0,-4420.0,85.1,-798.0,41.2,5,S,1A,3413
2020-06-21 16:32:11.074054912,74.609,-55.9941,4857.0,123.0,-4720.0,124.6,-1145.0,91.5,10,S,2B,3413
2017-05-23 04:21:03.574055168,74.609,-55.9941,3837.0,43.0,-3798.0,43.3,-550.0,52.5,95,S,2A,3413
2020-07-03 23:48:06.574054912,74.609,-55.9941,4746.0,105.0,-4653.0,106.7,-938.0,66.8,9,S,2B,3413
2020-06-11 04:22:14.074054912,74.609,-55.9941,4798.0,83.0,-4681.0,84.5,-1054.0,40.7,35,S,2B,3413
2020-05-19 16:22:10.074054912,74.609,-55.9941,4787.0,86.0,-4744.0,86.9,-641.0,50.5,50,S,2B,3413
2021-05-19 04:12:11.074055168,74.609,-55.9941,4773.0,190.0,-4737.0,190.9,-582.0,50.3,45,S,2B,3413
2020-06-26 04:22:15.074054912,74.609,-55.9941,4716.0,178.0,-4602.0,180.6,-1030.0,100.0,5,S,2B,3413
2016-08-05 16:09:04.074054912,74.609,-55.9941,4146.0,39.0,-4116.0,38.3,-498.0,54.9,39,S,2A,3413
2019-05-13 11:48:11.074054912,74.609,-55.9941,4204.0,256.0,-4131.0,258.7,-785.0,173.0,5,S,2A,3413
2019-06-05 04:32:14.574055168,74.609,-55.9941,4196.0,160.0,-4108.0,162.9,-855.0,84.2,24,S,2B,3413
2019-06-05 20:48:54.709987072,74.609,-55.9941,4111.0,81.0,-4035.0,82.5,-788.0,27.2,12,S,1A,3413
2018-02-17 21:05:01.440257024,74.609,-55.9941,4615.0,192.0,-4555.0,193.9,-739.0,61.2,5,S,1A,3413
2019-05-26 04:37:56.574054912,74.609,-55.9941,4209.0,197.0,-4117.0,201.1,-877.0,51.2,64,S,2B,3413
2016-07-22 16:29:19.074054912,74.609,-55.9941,4148.0,40.0,-4112.0,40.2,-549.0,45.2,20,S,2A,3413
2016-03-29 16:29:17.574054912,74.609,-55.9941,4044.0,200.0,-3956.0,203.2,-841.0,110.2,9,S,2A,3413
2020-03-31 20:48:58.261541888,74.609,-55.9941,5390.0,153.0,-5286.0,155.5,-1051.0,77.4,12,S,1A,3413
2019-05-24 20:48:54.215273984,74.609,-55.9941,4050.0,109.0,-4014.0,109.4,-534.0,50.5,12,S,1A,3413
2019-06-12 16:32:17.074054912,74.609,-55.9941,4289.0,114.0,-4194.0,115.8,-897.0,69.1,40,S,2B,3413
2016-10-27 20:48:21.600765952,74.609,-55.9941,5211.0,135.0,-5163.0,136.1,-705.0,76.5,5,S,1A,3413
2018-05-16 04:28:49.074054912,74.609,-55.9941,3674.0,219.0,-3671.0,218.6,-155.0,243.2,4,S,2A,3413
2020-05-17 16:32:13.574054912,74.609,-55.9941,4601.0,162.0,-4541.0,162.0,-740.0,159.5,10,S,2A,3413
