mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2021-06-17 14:23:53.066036736,66.376,-38.1977,8089.0,20.0,8088.0,19.8,-138.0,28.3,60,S,2A,3413
2021-09-02 08:56:05.610349824,66.376,-38.1977,8718.0,23.0,8717.0,22.9,91.0,21.7,12,S,1A,3413
2018-11-20 08:55:26.959767296,66.376,-38.1977,8136.0,230.0,8124.0,230.0,-448.0,211.2,6,S,1B,3413
2020-12-18 20:13:05.657330944,66.376,-38.1977,8659.0,50.0,8656.0,50.1,-211.0,97.5,11,S,1B,3413
2018-01-08 09:03:01.555288064,66.376,-38.1977,8392.0,151.0,8387.0,151.4,-267.0,91.0,11,S,1B,3413
2021-05-11 02:23:49.566036992,66.376,-38.1977,8174.0,34.0,8172.0,33.7,-187.0,47.2,15,S,2B,3413
2019-03-26 08:55:24.250150912,66.376,-38.1977,8067.0,175.0,8055.0,174.9,-438.0,162.6,5,S,1A,3413
2018-01-28 09:11:26.635016960,66.376,-38.1977,8233.0,72.0,8231.0,71.8,-206.0,92.0,5,S,1A,3413
2017-10-27 09:11:50.521967104,66.376,-38.1977,9637.0,111.0,9637.0,111.2,17.0,77.6,12,S,1A,3413
2017-12-26 09:11:48.746176256,66.376,-38.1977,8501.0,58.0,8501.0,57.7,-87.0,61.9,11,S,1A,3413
2021-04-23 14:23:52.566036992,66.376,-38.1977,7839.0,27.0,7839.0,27.2,-64.0,28.2,90,S,2A,3413
2019-01-01 14:15:01.566036992,66.376,-38.1977,7605.0,6.0,7604.0,6.3,-148.0,7.9,130,S,2A,3413
2018-10-06 02:11:53.566037248,66.376,-38.1977,8161.0,30.0,8159.0,29.9,-219.0,38.4,45,S,2B,3413
2022-01-17 09:03:59.401936896,66.376,-38.1977,8519.0,196.0,8512.0,196.0,-321.0,105.0,11,S,1A,3413
2021-03-04 09:12:05.858662912,66.376,-38.1977,8139.0,104.0,8134.0,103.8,-276.0,92.5,12,S,1A,3413
